date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:19:34	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%226412a800-154%22	https://www.classcentral.com/robots.txt		(from )
06:19:35	668641/668641	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2004:19:35%20GMT	https://www.classcentral.com/	/home/mm/websites/class_central3/www.classcentral.com/index.html	(from )
06:19:36	9463/9463	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Mar%202023%2002:58:54%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	/home/mm/websites/class_central3/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
06:19:36	2206/2206	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2005:24:16%20GMT	https://www.classcentral.com/apple-touch-icon.png	/home/mm/websites/class_central3/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
06:19:37	975/975	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2005:24:16%20GMT	https://www.classcentral.com/favicon-32x32.png	/home/mm/websites/class_central3/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
06:19:38	731/731	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Mar%202023%2005:24:16%20GMT	https://www.classcentral.com/favicon-16x16.png	/home/mm/websites/class_central3/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
06:19:39	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%226412a6f9-2a1%22	https://www.classcentral.com/site.webmanifest	/home/mm/websites/class_central3/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
06:19:41	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226412a6f9-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	/home/mm/websites/class_central3/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
06:19:42	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%226412a800-391%22	https://www.classcentral.com/opensearch.xml	/home/mm/websites/class_central3/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
06:19:42	892/892	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Mar%202023%2005:19:53%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	/home/mm/websites/class_central3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
06:19:43	892/892	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Mar%202023%2005:19:53%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	/home/mm/websites/class_central3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
06:19:44	988/988	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Mar%202023%2005:24:16%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	/home/mm/websites/class_central3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
06:19:45	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Mar%202023%2005:24:16%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	/home/mm/websites/class_central3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
